,tax_code,name,address_number,street,ward,district,province,website,facebook,linkedin,email,phone_number,other_contact_info
18,801142408,CÔNG TY TNHH TM&VT PHÚ MINH,Số nhà 06,ngõ 51 phố Ao He khu 2 Tử Lạc,Phường Minh Tân,Thị xã Kinh Môn,Tỉnh Hải Dương,,,,,6.503.715.584,
19,314347651,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT CƠ KHÍ ĐỨC NGHĨA,tổ 8,khu phố Tân Mai,Phường Phước Tân,Thành phố Biên Hoà,Tỉnh Đồng Nai,,,,,0966437778,
20,101041796,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ VÀ XUẤT NHẬP KHẨU HOÀNG LINH,So 10/521/101,duong Khuong Dinh,Phuong Thuong Dinh,Quan Thanh Xuan,Ha Noi,www.vanhoivannuoc.com,,,hoanglinhvanbom@gmail.com,"(024) 38691016, 0912294250",
21,200684519,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ VẬN TẢI NHẬT ANH,Số 41/270,Đà Nẵng,Phường Cầu Tre,Quận Ngô Quyền,Thành phố Hải Phòng,,,,,0313765779,
22,2500238188,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ VẬT LIỆU XÂY DỰNG SƠN HẢI,,Đường Nguyễn Tất Thành,Phường Khai Quang,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc,,,,,0915 134 377,
23,2500522015,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG THỊNH SƠN,,Thon Phu Chinh,Xa Tuan Chinh,Huyen Vinh Tuong,Vinh Phuc,,,,,0984 426 688,
24,107126799,CÔNG TY TNHH SINDOH VINA MARKETING,,"đường Lý Nam Đế, Khu đô thị Sinh thái Sông Hồng - Nam Đầm Vạc,",Phường Khai Quang,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc,http://sindoh-vina.com,,,,(04)3 200 3850,
25,2500370901,HỢP TÁC XÃ DỊCH VỤ ĐIỆN VĨNH THỊNH,,,Xã Vĩnh Thịnh,Vĩnh Tường,Tỉnh Vĩnh Phúc,,,,,0915022010,
26,2500396794,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ VẬN TẢI THỊNH VINH,,Tổ dân phố Bãi Kếu,Thị trấn Đạo Đức,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc,,,,,02113 870 657,
27,101284439,CÔNG TY TNHH Ô TÔ VIỆT HẢI,Km 14+600,Quốc lộ 6,Phường Yên Nghĩa,Quận Hà Đông,Thành phố Hà Nội,,,,,02438826333,
28,108022665,CÔNG TY TNHH KPM TECH VINA,,Đường Mễ Trì,Phường Mễ Trì,Quận Nam Từ Liêm,Thành phố Hà Nội,https://kpmtech.com.vn/,,,,0965405843,
29,107342990,CÔNG TY CỔ PHẦN VẬN TẢI BẢO ANH,Xóm Ao Dài,thôn Tự Khoát,Xã Ngũ Hiệp,Huyện Thanh Trì,Thành phố Hà Nội,http://baoanhtransport.com/,,,vantaibaoanh.hn@gmail.com ,(024) 3350 4567,
